COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_smithii	p_M_intestini	N_M_smithii	N_M_intestini
"Kef-type K+ transport system, membrane component KefB (KefB) (PDB:4BWZ)"	2.295758946	0.129727786	0.664975023	M. smithii	COG0475	GC_00000063	0.9672	0.8846	61	26
"ABC-type Fe3+-hydroxamate transport system, periplasmic component (FepB) (PDB:1ESZ)"	2.262153494	0.132569598	0.674545307	M. intestini	COG0614	GC_00000166	0.918	1	61	26
"Predicted methyltransferase, contains TPR repeat"	2.262153494	0.132569598	0.674545307	M. intestini	COG4976	GC_00000116	0.918	1	61	26
Uncharacterized N-terminal coiled-coil domain of peptidoglycan hydrolase CwlO (CwlO1) (PDB:4CGK)	2.234267725	0.134980559	0.684297046	M. intestini	COG3883	"GC_00001870, GC_00002022"	0.2951	0.4615	61	26
Phage terminase large subunit!!!Uncharacterized conserved protein (PUBMED:23071111)	2.179793936	0.139833183	0.706310677	M. intestini	COG5362!!!COG5410	"GC_00002195, GC_00003050"	0.082	0.1923	61	26
CRISPR/Cas system-associated endoribonuclease Cas2 (Cas2) (PDB:2I0X)	2.129326036	0.14450428	0.727250633	M. intestini	COG1343	"GC_00001561, GC_00001741, GC_00001906"	0.8525	0.9615	61	26
Predicted transposase YbfD/YdcC associated with H repeats (YhhI)	2.004290097	0.156854709	0.786546804	M. intestini	COG5433	"GC_00002839, GC_00003941"	0.0164	0.0769	61	26
DNA-adenine methylase (Dam) (PDB:4GOL)	1.926513382	0.165140404	0.825105844	M. smithii	COG0338	GC_00001827	0.2951	0.1538	61	26
"Restriction endonuclease, type III RM system (PM0699)"	1.891979931	0.168978774	0.841246846	M. smithii	COG3587	"GC_00001884, GC_00003795"	0.2459	0.1154	61	26
"Thiamin phosphate synthase YjbQ, UPF0047 family (YjbQ) (PDB:1VE0)"	1.787883905	0.181184201	0.882953992	M. intestini	COG0432	GC_00001505	0.9344	1	61	26
Cobalamin biosynthesis protein CbiG (CbiG)	1.787883905	0.181184201	0.882953992	M. intestini	COG2073	GC_00001506	0.9344	1	61	26
"Uncharacterized conserved protein, UPF0147 family (PDB:2QSB)"	1.787883905	0.181184201	0.882953992	M. intestini	COG1698	GC_00001504	0.9344	1	61	26
"Zn-dependent peptidase ImmA, M78 family (ImmA) (PDB:3DTE)!!!DNA-binding transcriptional regulator YiaG, XRE-type HTH domain (YiaG) (PDB:5JAA)"	1.787883905	0.181184201	0.882953992	M. smithii	COG2856!!!COG2944	GC_00002481	0.0656	0	61	26
Predicted helicase (PDB:5FFJ)	1.787883905	0.181184201	0.882953992	M. smithii	COG4889	GC_00002494	0.0656	0	61	26
Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)	1.787883905	0.181184201	0.882953992	M. smithii	COG0457	GC_00002465	0.0656	0	61	26
"DNAse/DNA nickase specific for phosphorothioated or glycosylated phage DNA, GmrSD/DndB/SspE family, contains DUF262 and HNH nuclease domains (GmrSD) (PDB:6JIV) (PUBMED:17188297;32251370)!!!Uncharacterized conserved protein domain, often C-terminal to DUF262"	1.712572016	0.190652004	0.925832891	M. intestini	COG1479!!!COG3472	"GC_00001950, GC_00002008"	0.2459	0.3846	61	26
"Type II restriction/modification system, endonuclease and methylase domains (YeeA) (PDB:5HR4)"	1.533740293	0.21555196	1	M. smithii	COG1002	"GC_00002138, GC_00002959, GC_00002985, GC_00003013, GC_00003031, GC_00003032, GC_00003336, GC_00003923"	0.1803	0.0769	61	26
Transposase InsA (InsA)	1.32492896	0.249709369	1	M. intestini	COG3677	"GC_00000001, GC_00000054, GC_00001628"	0.9508	1	61	26
Cobalamin biosynthesis protein CobD/CbiB (CbiB)	1.32492896	0.249709369	1	M. intestini	COG1270	GC_00001497	0.9508	1	61	26
Wobble nucleotide-excising tRNase (RloC) (PUBMED:18681940)	1.32492896	0.249709369	1	M. smithii	COG4694	"GC_00002996, GC_00003448"	0.0492	0	61	26
Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase (HisC) (PDB:4R2N)!!!Choline kinase (PDB:4MND)	1.32492896	0.249709369	1	M. smithii	COG0079!!!COG1213	GC_00002779	0.0492	0	61	26
"Alcohol dehydrogenase, class IV (EutG) (PDB:6AHC)"	1.32492896	0.249709369	1	M. smithii	COG1454	GC_00002693	0.0492	0	61	26
"NTP pyrophosphatase, house-cleaning of non-canonical NTPs (MazG) (PDB:1VMG)"	1.285844109	0.256815243	1	M. intestini	COG1694	GC_00001900	0.1639	0.2692	61	26
Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)	1.243931784	0.264714646	1	M. intestini	COG2963	"GC_00002462, GC_00003155, GC_00003161, GC_00003578, GC_00003631, GC_00003876, GC_00004033"	0.0492	0.1154	61	26
"Superfamily II DNA or RNA helicase, SNF2 family (HepA) (PDB:6UXV)!!!ERCC4-related helicase (MPH1) (PDB:1WP9)"	1.21224618	0.270887728	1	M. smithii	COG0553!!!COG1111	GC_00001839	0.2623	0.1538	61	26
"Predicted antitoxin component YuzE of a toxin-antitoxin system, DUF2283 family (YuzE)"	1.075256569	0.299761123	1	M. intestini	COG5428	GC_00001617	0.5738	0.6923	61	26
Phage portal protein BeeE (BeeE)	1.013211629	0.31413466	1	M. intestini	COG4695	GC_00002115	0.082	0.1538	61	26
"Type I site-specific restriction endonuclease, part of a restriction-modification system (HsdR) (PDB:3H1T) (PUBMED:21169490)"	1.013211629	0.31413466	1	M. intestini	COG4096	GC_00002132	0.082	0.1538	61	26
"Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family (CDA1) (PDB:1NY1)"	0.92067068	0.337298935	1	M. intestini	COG0726	"GC_00001987, GC_00003133"	0.1148	0.1923	61	26
"5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation) (AraD) (PDB:1FUA) (PUBMED:31950558)"	0.872888201	0.350156971	1	M. intestini	COG0235	"GC_00001485, GC_00003257, GC_00004151"	0.9672	1	61	26
Epoxyqueuosine reductase QueG (queuosine biosynthesis) (QueG) (PDB:5D08) (PUBMED:2150253)	0.872888201	0.350156971	1	M. smithii	COG1600	GC_00003063	0.0328	0	61	26
Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)	0.872888201	0.350156971	1	M. smithii	COG0593	"GC_00003289, GC_00003514"	0.0328	0	61	26
"Adenine-specific DNA methylase, contains a Zn-ribbon domain"	0.872888201	0.350156971	1	M. smithii	COG1743	GC_00003086	0.0328	0	61	26
"Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB (MtnN) (PDB:1T8R) (PUBMED:18801996)!!!Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY) (HemYx)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)"	0.808246967	0.368639044	1	M. intestini	COG0775!!!COG3071!!!COG5010	GC_00002568	0.0328	0.0769	61	26
"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)"	0.751334122	0.386054168	1	M. smithii	COG0265	GC_00001574	0.5246	0.4231	61	26
"CRISPR-Cas system type I effector complex subunit Cas7,  RAMP superfamily (Cas7)"	0.636682507	0.424914669	1	M. smithii	COG3649	"GC_00001898, GC_00003078"	0.2295	0.1538	61	26
Choline kinase (PDB:4MND)	0.610913856	0.434443934	1	M. intestini	COG1213	"GC_00002412, GC_00002732"	0.0656	0.1154	61	26
"Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)"	0.610913856	0.434443934	1	M. intestini	COG2423	GC_00002260	0.0656	0.1154	61	26
"Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family (TagD) (PDB:2B7L)!!!2-Methylisocitrate lyase and related enzymes, PEP mutase family (PrpB) (PDB:1XG3)"	0.610913856	0.434443934	1	M. intestini	COG0615!!!COG2513	GC_00002251	0.0656	0.1154	61	26
"PAS domain (PAS) (PDB:2MWG)!!!Two-component sensor histidine kinase, HisKA and HATPase domains (PDB:4R39)"	0.607701607	0.43565451	1	M. smithii	COG2202!!!COG3920	"GC_00001678, GC_00001698, GC_00002586, GC_00002587"	0.4754	0.3846	61	26
"Uncharacterized conserved protein, DUF2075 family (BH3996) (PUBMED:15547281)"	0.561397568	0.453697689	1	M. intestini	COG3410	"GC_00001901, GC_00002139, GC_00002415"	0.1967	0.2692	61	26
"Transposase and inactivated derivatives, IS5 family (IS5)"	0.5369869	0.463684142	1	M. smithii	COG3039	"GC_00002117, GC_00003953"	0.082	0.0385	61	26
"mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system (RelE) (PDB:1WMI)"	0.5369869	0.463684142	1	M. smithii	COG2026	"GC_00002609, GC_00002622"	0.082	0.0385	61	26
Ribosomal protein L12E/L44/L45/RPP1/RPP2 (RPP1A)	0.431360149	0.511322297	1	M. intestini	COG2058	GC_00001445	0.9836	1	61	26
"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)"	0.431360149	0.511322297	1	M. intestini	COG1028	"GC_00001057, GC_00002086, GC_00004149"	0.9836	1	61	26
Ribosomal protein S19E (S16A) (RPS19A) (PDB:2V7F)	0.431360149	0.511322297	1	M. intestini	COG2238	GC_00001428	0.9836	1	61	26
Fe-S-cluster-containing dehydrogenase component (DMSO reductase) (HybA) (PDB:2VPW)!!!Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)!!!Ferredoxin (NapF) (PDB:6FAH)!!!Predicted molibdopterin-dependent oxidoreductase YjgC (YjgC) (PDB:1AA6)	0.431360149	0.511322297	1	M. intestini	COG0437!!!COG1143!!!COG1145!!!COG3383	GC_00001443	0.9836	1	61	26
"Asparagine N-glycosylation enzyme, membrane subunit Stt3 (Stt3) (PDB:2LGZ)"	0.431360149	0.511322297	1	M. intestini	COG1287	GC_00001464	0.9836	1	61	26
Alanyl-tRNA synthetase (AlaS) (PDB:2ZZE)	0.431360149	0.511322297	1	M. intestini	COG0013	"GC_00001481, GC_00003350"	0.9836	1	61	26
"Phosphoserine phosphatase (SerB) (PDB:3N28)!!!Uncharacterized coiled-coil protein, contains DUF342 domain"	0.431360149	0.511322297	1	M. intestini	COG0560!!!COG1340	GC_00001466	0.9836	1	61	26
Broad-specificity NMP kinase (Fap7) (PDB:1RKB)	0.431360149	0.511322297	1	M. intestini	COG1936	GC_00001463	0.9836	1	61	26
RNA-binding protein YhbY (YhbY) (PDB:1JO0)	0.431360149	0.511322297	1	M. intestini	COG1534	"GC_00001429, GC_00003458"	0.9836	1	61	26
Ribosomal protein L1 (RplA) (PDB:3J65)	0.431360149	0.511322297	1	M. intestini	COG0081	GC_00001432	0.9836	1	61	26
Preprotein translocase subunit Sss1 (Sss1) (PDB:2WWB)	0.431360149	0.511322297	1	M. intestini	COG2443	GC_00001435	0.9836	1	61	26
"DNA-binding TFAR19-related protein, PDSD5 family (PDCD5) (PDB:1EIJ)"	0.431360149	0.511322297	1	M. intestini	COG2118	GC_00001425	0.9836	1	61	26
Ribosomal protein L10 (RplJ) (PDB:5IT8)	0.431360149	0.511322297	1	M. intestini	COG0244	GC_00001441	0.9836	1	61	26
"Predicted subunit of tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain (PDB:3K32)"	0.431360149	0.511322297	1	M. intestini	COG2117	GC_00001440	0.9836	1	61	26
"DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)"	0.431360149	0.511322297	1	M. intestini	COG1733	"GC_00001503, GC_00001658, GC_00002244, GC_00003188, GC_00004153"	0.9836	1	61	26
Transcription termination/antitermination protein NusG (NusG) (PDB:3EWG) (PUBMED:19500594)	0.431360149	0.511322297	1	M. intestini	COG0250	GC_00001430	0.9836	1	61	26
Ribosomal protein L40E (RPL40A) (PDB:2AYJ)	0.431360149	0.511322297	1	M. intestini	COG1552	GC_00001424	0.9836	1	61	26
Ribosomal protein L39E (RPL39) (PUBMED:16621811)	0.431360149	0.511322297	1	M. intestini	COG2167	GC_00001423	0.9836	1	61	26
"DNA topoisomerase IA (TopA) (PDB:1CY0)!!!DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains (YrdD) (PDB:1YUA)"	0.431360149	0.511322297	1	M. intestini	COG0550!!!COG0551	GC_00001457	0.9836	1	61	26
"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)"	0.431360149	0.511322297	1	M. intestini	COG0747	GC_00000060	0.9836	1	61	26
Ribosome-interacting GTPase RBG1 (Rbg1) (PDB:4A9A)	0.431360149	0.511322297	1	M. intestini	COG1163	GC_00001454	0.9836	1	61	26
Signal recognition particle GTPase FtsY (FtsY) (PDB:4AK9)	0.431360149	0.511322297	1	M. intestini	COG0552	GC_00001473	0.9836	1	61	26
Superfamily II DNA or RNA helicase (SSL2) (PDB:6JDE)!!!HKD family nuclease	0.431360149	0.511322297	1	M. intestini	COG1061!!!COG3886	GC_00000056	0.9836	1	61	26
Ribonuclease P protein subunit RPR2 (RPR2) (PDB:1X0T)	0.431360149	0.511322297	1	M. intestini	COG2023	GC_00001449	0.9836	1	61	26
Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis) (ThiI) (PDB:1VBK) (PUBMED:22773787)	0.431360149	0.511322297	1	M. intestini	COG0301	GC_00001469	0.9836	1	61	26
"Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily (CapA)"	0.431360149	0.511322297	1	M. intestini	COG2843	GC_00000058	0.9836	1	61	26
NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains (NhaP2)	0.431360149	0.511322297	1	M. intestini	COG3263	GC_00001450	0.9836	1	61	26
Translation initiation factor 6 (eIF-6) (TIF6) (PDB:1G61)	0.431360149	0.511322297	1	M. intestini	COG1976	GC_00001438	0.9836	1	61	26
Ribosomal protein L20A (L18A) (RPL20A) (PDB:2JXT)	0.431360149	0.511322297	1	M. intestini	COG2157	GC_00001436	0.9836	1	61	26
"Nitrous oxide reductase accessory protein NosD, contains tandem CASH domains (NosD) (PDB:2KZW)"	0.431360149	0.511322297	1	M. intestini	COG3420	GC_00001479	0.9836	1	61	26
Ribosomal protein L31E (RPL31A)	0.431360149	0.511322297	1	M. intestini	COG2097	GC_00001439	0.9836	1	61	26
"ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppB)"	0.431360149	0.511322297	1	M. intestini	COG0601	"GC_00000169, GC_00003471"	0.9836	1	61	26
Uncharacterized conserved protein containing a metal-binding domain	0.431360149	0.511322297	1	M. intestini	COG5643	"GC_00000045, GC_00002578"	0.9836	1	61	26
Ribosomal protein L11 (RplK) (PDB:2E34)	0.431360149	0.511322297	1	M. intestini	COG0080	GC_00001422	0.9836	1	61	26
Cell division GTPase FtsZ (FtsZ) (PDB:1FSZ)	0.431360149	0.511322297	1	M. intestini	COG0206	GC_00001442	0.9836	1	61	26
Prefoldin subunit 5 (GIM5) (PDB:6NR8)	0.431360149	0.511322297	1	M. intestini	COG1730	GC_00001426	0.9836	1	61	26
"TATA-box binding protein (TBP), component of TFIID and TFIIIB (SPT15) (PDB:1NGM)"	0.431360149	0.511322297	1	M. intestini	COG2101	GC_00001433	0.9836	1	61	26
Adenine-specific DNA N6-methylase (YtxK) (PDB:2F8L)	0.431360149	0.511322297	1	M. smithii	COG0827	GC_00003267	0.0164	0	61	26
Restriction endonuclease Mrr (Mrr)	0.431360149	0.511322297	1	M. smithii	COG1715	GC_00004107	0.0164	0	61	26
Ribosomal protein L27 (RpmA) (PDB:1VS6)	0.431360149	0.511322297	1	M. smithii	COG0211	GC_00003472	0.0164	0	61	26
"Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase (BcsA) (PDB:4HG6)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)"	0.431360149	0.511322297	1	M. smithii	COG1215!!!COG1216	GC_00004183	0.0164	0	61	26
"Uncharacterized conserved protein RhaS, contains 28 RHS repeats (RhsA) (PDB:4IGL)"	0.431360149	0.511322297	1	M. smithii	COG3209	GC_00003888	0.0164	0	61	26
"Uncharacterized conserved protein YsxB, DUF464 family (YsxB) (PDB:1S12)"	0.431360149	0.511322297	1	M. smithii	COG2868	GC_00004022	0.0164	0	61	26
Aspartyl aminopeptidase (LAP4) (PDB:1Y7E)	0.431360149	0.511322297	1	M. smithii	COG1362	GC_00003638	0.0164	0	61	26
Ribosomal protein L21 (RplU) (PDB:1VS6)	0.431360149	0.511322297	1	M. smithii	COG0261	GC_00003978	0.0164	0	61	26
"Uncharacterized conserved protein, DUF1778 family (PDB:1Y9B)"	0.431360149	0.511322297	1	M. smithii	COG4453	GC_00003925	0.0164	0	61	26
"DNA uptake channel protein ComEC, N-terminal domain (ComEC)!!!DNA uptake channel protein ComEC C-terminal domain, metallo-beta-lactamase superfamily (ComEC)"	0.431360149	0.511322297	1	M. smithii	COG0658!!!COG2333	GC_00003805	0.0164	0	61	26
"Alkylated DNA nucleotide flippase Atl1, participates in nucleotide excision repair, Ada-like DNA-binding domain (Atl1) (PDB:2KIF) (PUBMED:19516334)"	0.431360149	0.511322297	1	M. smithii	COG3695	GC_00003469	0.0164	0	61	26
dGTP triphosphohydrolase (Dgt) (PDB:6OI7)	0.431360149	0.511322297	1	M. smithii	COG0232	GC_00003757	0.0164	0	61	26
DNA mismatch repair ATPase MutL (MutL) (PDB:1B62)	0.431360149	0.511322297	1	M. smithii	COG0323	GC_00004106	0.0164	0	61	26
Outer membrane porin OmpC/OmpF/PhoE (OmpC) (PDB:1PHO)	0.431360149	0.511322297	1	M. smithii	COG3203	GC_00004041	0.0164	0	61	26
Primase-polymerase (Primpol) domain protein (PDB:6A9W) (PUBMED:29198957)	0.431360149	0.511322297	1	M. smithii	COG4983	GC_00003917	0.0164	0	61	26
"Uncharacterized conserved protein, DUF2321 domain"	0.431360149	0.511322297	1	M. smithii	COG4306	GC_00003975	0.0164	0	61	26
"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)"	0.431360149	0.511322297	1	M. smithii	COG3093	GC_00003835	0.0164	0	61	26
"CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!PAS domain (PAS) (PDB:2MWG)"	0.410196763	0.521869653	1	M. smithii	COG0784!!!COG2202	GC_00001676	0.459	0.3846	61	26
"Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains (YbjD)"	0.40778349	0.523096667	1	M. smithii	COG3593	"GC_00002394, GC_00002688, GC_00002792, GC_00002835, GC_00002912, GC_00002961, GC_00003554, GC_00003956"	0.2131	0.1538	61	26
Adenine specific DNA methylase Mod (Mod) (PDB:4ZCF)	0.40778349	0.523096667	1	M. smithii	COG2189	"GC_00001751, GC_00002210, GC_00002409, GC_00002550, GC_00002733, GC_00002903, GC_00002968, GC_00002991, GC_00003000, GC_00003068, GC_00003242, GC_00003830, GC_00004123"	0.2131	0.1538	61	26
"N-glycosidase YbiA/RibX (riboflavin biosynthesis, damage control), NADAR superfamily (RibX) (PDB:2B3W) (PUBMED:22399070;25431972)"	0.39616762	0.529075124	1	M. intestini	COG3236	GC_00002821	0.0164	0.0385	61	26
Phage capsid portal protein XkdE	0.39616762	0.529075124	1	M. intestini	COG5518	GC_00003121	0.0164	0.0385	61	26
Retron-type reverse transcriptase (YkfC)	0.39616762	0.529075124	1	M. intestini	COG3344	GC_00003021	0.0164	0.0385	61	26
Guanylate kinase (Gmk) (PDB:1EX6)	0.39616762	0.529075124	1	M. intestini	COG0194	GC_00003113	0.0164	0.0385	61	26
"Predicted RNA-binding protein, contains PUA-like EVE domain (PDB:1WMM)"	0.39616762	0.529075124	1	M. intestini	COG1673	GC_00003085	0.0164	0.0385	61	26
Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Spore maturation protein CgeB	0.39616762	0.529075124	1	M. intestini	COG0463!!!COG4641	GC_00003057	0.0164	0.0385	61	26
Site-specific DNA recombinase SpoIVCA/DNA invertase PinE (SpoIVCA) (PDB:1GDT)	0.39616762	0.529075124	1	M. intestini	COG1961	"GC_00004179, GC_00004182"	0.0164	0.0385	61	26
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme (CysD) (PDB:1ZUN)!!!Ferredoxin (NapF) (PDB:6FAH)	0.39616762	0.529075124	1	M. intestini	COG0175!!!COG1145	GC_00003027	0.0164	0.0385	61	26
IS4 transposase InsG (InsG)	0.39616762	0.529075124	1	M. intestini	COG3385	"GC_00003338, GC_00004058"	0.0164	0.0385	61	26
tRNA1(Val) A37 N6-methylase TrmN6 (TrmN6)	0.39616762	0.529075124	1	M. intestini	COG4123	GC_00002920	0.0164	0.0385	61	26
"Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain"	0.39616762	0.529075124	1	M. intestini	COG4748	GC_00002975	0.0164	0.0385	61	26
"GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)"	0.39616762	0.529075124	1	M. intestini	COG2199	"GC_00003577, GC_00003873"	0.0164	0.0385	61	26
REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8)	0.39616762	0.529075124	1	M. intestini	COG1943	"GC_00002770, GC_00004002"	0.0164	0.0385	61	26
Replication initiaton protein REP (rolling circle plasmid replication) (REP)	0.39616762	0.529075124	1	M. intestini	COG5655	"GC_00004082, GC_00004144"	0.0164	0.0385	61	26
"Anthranilate phosphoribosyltransferase, glycosyltransferase domain (TrpD) (PDB:1KGZ)"	0.39616762	0.529075124	1	M. smithii	COG0547	GC_00001490	0.9836	0.9615	61	26
dTDP-4-dehydrorhamnose reductase (RfbD) (PDB:1KBZ)	0.39616762	0.529075124	1	M. smithii	COG1091	GC_00001492	0.9836	0.9615	61	26
Indole-3-glycerol phosphate synthase (TrpC) (PDB:6BMA)	0.39616762	0.529075124	1	M. smithii	COG0134	GC_00001494	0.9836	0.9615	61	26
Anthranilate/para-aminobenzoate synthases component I (TrpE) (PDB:1I1Q)	0.39616762	0.529075124	1	M. smithii	COG0147	GC_00001491	0.9836	0.9615	61	26
3-5 helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V) (RecB) (PDB:3U44) (PUBMED:29901759;30601118)	0.39616762	0.529075124	1	M. smithii	COG1074	"GC_00000022, GC_00002844"	0.9836	0.9615	61	26
Tryptophan synthase beta chain (TrpB) (PDB:2DH5)!!!Indole-3-glycerol phosphate synthase (TrpC) (PDB:6BMA)!!!Phosphoribosylanthranilate isomerase (TrpF) (PDB:1DL3)	0.39616762	0.529075124	1	M. smithii	COG0133!!!COG0134!!!COG0135	GC_00000065	0.9836	0.9615	61	26
Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase) (PabA) (PDB:1I1Q)	0.39616762	0.529075124	1	M. smithii	COG0512	"GC_00001465, GC_00003389"	0.9836	0.9615	61	26
Tryptophan synthase alpha chain (TrpA) (PDB:6HUL)	0.39616762	0.529075124	1	M. smithii	COG0159	GC_00001486	0.9836	0.9615	61	26
"CRISPR/Cas system endoribonuclease Cas6, RAMP superfamily (Cas6) (PDB:5YI6)"	0.295837261	0.586503931	1	M. intestini	COG1583	"GC_00001616, GC_00001892"	0.7541	0.8077	61	26
"Global stress regulator YbjN, DUF2299 family (YbjN) (PDB:3CXJ) (PUBMED:28426806;21980417)"	0.282273329	0.595215053	1	M. intestini	COG5440	GC_00001527	0.8852	0.9231	61	26
"Molecular chaperone, HSP90 family (HtpG) (PDB:1Y4S) (PUBMED:30150682)"	0.282273329	0.595215053	1	M. smithii	COG0326	"GC_00002442, GC_00002502"	0.1148	0.0769	61	26
"Photosystem I assembly protein Ycf37, contains TPR repeats (Ycf37)"	0.25819585	0.611362348	1	M. intestini	COG5714	GC_00002416	0.0492	0.0769	61	26
"Superfamily II DNA or RNA helicase, SNF2 family (HepA) (PDB:6UXV)"	0.25819585	0.611362348	1	M. intestini	COG0553	"GC_00002672, GC_00003149"	0.0492	0.0769	61	26
"Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR)!!!DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains (YrdD) (PDB:1YUA)"	0.247038795	0.619167914	1	M. smithii	COG0210!!!COG0551	GC_00002438	0.0656	0.0385	61	26
"DNAse/DNA nickase specific for phosphorothioated or glycosylated phage DNA, GmrSD/DndB/SspE family, contains DUF262 and HNH nuclease domains (GmrSD) (PDB:6JIV) (PUBMED:17188297;32251370)"	0.24181912	0.622895327	1	M. smithii	COG1479	"GC_00001761, GC_00001814, GC_00003102, GC_00004163"	0.5574	0.5	61	26
CRISPR-Cas system type I-B effector complex large subunit Cas8b1 (Cas8b1)	0.223569588	0.636333429	1	M. smithii	COG5938	GC_00001899	0.1967	0.1538	61	26
"Predicted P-loop ATPase, KAP-like"	0.157999578	0.691004974	1	M. smithii	COG4928	"GC_00002445, GC_00003069, GC_00003101, GC_00003142, GC_00003721, GC_00004145"	0.1475	0.1154	61	26
"Putative cell wall-binding domain (amidase enhancer), LytB superfamily (LytB) (PDB:5J6Q)"	0.100901936	0.750749949	1	M. smithii	COG2247	GC_00002142	0.0984	0.0769	61	26
DNA-cytosine methylase (Dcm) (PDB:3LX6)	0.047558114	0.827368159	1	M. intestini	COG0270	"GC_00000064, GC_00002078, GC_00002099, GC_00002120, GC_00002333, GC_00002432, GC_00002447, GC_00002544, GC_00002574, GC_00002654, GC_00003028, GC_00004006, GC_00004134"	0.9508	0.9615	61	26
"Uncharacterized conserved protein YydD, contains DUF2326 domain (YydB)"	0.047558114	0.827368159	1	M. smithii	COG5293	GC_00002571	0.0492	0.0385	61	26
DNA modification methylase (YhdJ) (PDB:1BOO)	0.047558114	0.827368159	1	M. smithii	COG0863	"GC_00003154, GC_00003939, GC_00004158"	0.0492	0.0385	61	26
DNA mismatch repair protein MutH (MutH) (PDB:1AZO)	0.040691203	0.840135152	1	M. smithii	COG3066	GC_00002077	0.1311	0.1154	61	26
"Uncharacterized protein domain, C-terminal to COG1479 DNAse/DNA nickase (PUBMED:17188297;32251370)"	0.040691203	0.840135152	1	M. smithii	COG3586	GC_00002071	0.1311	0.1154	61	26
"Predicted NTPase, NACHT family domain (NACHT)"	0.033458635	0.85486313	1	M. intestini	COG5635	"GC_00002261, GC_00002266, GC_00002528, GC_00002564, GC_00002952, GC_00003547"	0.2131	0.2308	61	26
Phage-related protein	0.02747106	0.86835845	1	M. intestini	COG5412	"GC_00001939, GC_00002049, GC_00003067"	0.3279	0.3462	61	26
Uncharacterized radical SAM domain-containing protein	0.017779541	0.893924537	1	M. intestini	COG2108	GC_00002629	0.0328	0.0385	61	26
Lysyl-tRNA synthetase (class II) (LysU) (PDB:1BBU)	0.017779541	0.893924537	1	M. intestini	COG1190	GC_00002791	0.0328	0.0385	61	26
"Integrase/recombinase, includes phage integrase (FimB)"	0.017779541	0.893924537	1	M. intestini	COG0582	"GC_00003279, GC_00003537, GC_00003785"	0.0328	0.0385	61	26
"Transposase and inactivated derivatives, IS1 family (InsB)"	0.017779541	0.893924537	1	M. intestini	COG1662	GC_00002845	0.0328	0.0385	61	26
