KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_intestini	p_M_smithii	N_M_intestini	N_M_smithii
ribonuclease P protein component [EC:3.1.26.5]	2.375935454	0.123217768	0.713637665	M. intestini	K03536	GC_00003634	0.0385	0	26	61
CRISPR-associated protein Csm1	2.370213164	0.123670164	0.713637665	M. intestini	K07016	GC_00001552	0.9231	0.7869	26	61
iron complex transport system substrate-binding protein	2.262153494	0.132569598	0.756721597	M. intestini	K02016	GC_00000166	1	0.918	26	61
transposase	2.262153494	0.132569598	0.756721597	M. intestini	K07487	"GC_00000027, GC_00000035, GC_00000054, GC_00001537, GC_00001539, GC_00001806, GC_00001896, GC_00002462, GC_00003049, GC_00003155, GC_00003578, GC_00003631, GC_00003656, GC_00003758, GC_00003793, GC_00003876, GC_00004033, GC_00004060, GC_00004177"	1	0.918	26	61
voltage-gated potassium channel	2.234267725	0.134980559	0.766341238	M. intestini	K10716	"GC_00001870, GC_00002022"	0.4615	0.2951	26	61
CRISPR-associated protein Cas2	2.129326036	0.14450428	0.816024172	M. intestini	K09951	"GC_00001561, GC_00001741, GC_00001906"	0.9615	0.8525	26	61
DNA adenine methylase [EC:2.1.1.72]	1.926513382	0.165140404	0.927597161	M. smithii	K06223	GC_00001827	0.1538	0.2951	26	61
type III restriction enzyme [EC:3.1.21.5]	1.891979931	0.168978774	0.944135372	M. smithii	K01156	"GC_00001884, GC_00003681, GC_00003795"	0.1154	0.2459	26	61
mRNA interferase RelE/StbE	1.787883905	0.181184201	0.996513104	M. smithii	K06218	"GC_00002622, GC_00004141"	0	0.0656	26	61
cobalt-precorrin 5A hydrolase [EC:3.7.1.12]	1.787883905	0.181184201	0.996513104	M. intestini	K02189	GC_00001506	1	0.9344	26	61
CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]	1.787883905	0.181184201	0.996513104	M. intestini	K09809	GC_00001496	1	0.9344	26	61
adenosylcobinamide-phosphate synthase [EC:6.3.1.10]	1.32492896	0.249709369	1	M. intestini	K02227	GC_00001497	1	0.9508	26	61
superkiller protein 3	1.32492896	0.249709369	1	M. smithii	K12600	GC_00002713	0	0.0492	26	61
dCTP diphosphatase [EC:3.6.1.12]	1.285844109	0.256815243	1	M. intestini	K16904	GC_00001900	0.2692	0.1639	26	61
L-fuculose-phosphate aldolase [EC:4.1.2.17]	0.872888201	0.350156971	1	M. intestini	K01628	GC_00001485	1	0.9672	26	61
epoxyqueuosine reductase [EC:1.17.99.6]	0.872888201	0.350156971	1	M. smithii	K18979	GC_00003063	0	0.0328	26	61
ATP-dependent helicase HepA [EC:3.6.4.-]	0.872888201	0.350156971	1	M. smithii	K03580	GC_00003149	0	0.0328	26	61
"ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor"	0.872888201	0.350156971	1	M. smithii	K03892	GC_00003174	0	0.0328	26	61
DNA sulfur modification protein DndD	0.844501455	0.358112518	1	M. smithii	K19171	"GC_00002105, GC_00002557, GC_00004071"	0.1154	0.1967	26	61
type II restriction enzyme [EC:3.1.21.4]	0.636682507	0.424914669	1	M. smithii	K01155	GC_00001891	0.1538	0.2295	26	61
CRISPR-associated protein Csh2	0.636682507	0.424914669	1	M. smithii	K19115	"GC_00001898, GC_00003078"	0.1538	0.2295	26	61
phosphonopyruvate decarboxylase [EC:4.1.1.82]	0.610913856	0.434443934	1	M. intestini	K09459	"GC_00002525, GC_00002739"	0.1154	0.0656	26	61
phosphoenolpyruvate phosphomutase / 2-hydroxyethylphosphonate cytidylyltransferase [EC:5.4.2.9 2.7.7.104]	0.610913856	0.434443934	1	M. intestini	K23999	GC_00002251	0.1154	0.0656	26	61
"two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]"	0.607701607	0.43565451	1	M. smithii	K00936	"GC_00001678, GC_00001698, GC_00002586, GC_00002587"	0.3846	0.4754	26	61
putative ATP-dependent endonuclease of the OLD family	0.54992809	0.458347078	1	M. intestini	K07459	"GC_00002688, GC_00002792, GC_00002835, GC_00002912, GC_00003554, GC_00003956"	0.1538	0.0984	26	61
prophage regulatory protein	0.431360149	0.511322297	1	M. smithii	K07733	GC_00003555	0	0.0164	26	61
stage V sporulation protein K	0.431360149	0.511322297	1	M. smithii	K06413	GC_00003824	0	0.0164	26	61
ProP effector	0.431360149	0.511322297	1	M. smithii	K03607	GC_00004041	0	0.0164	26	61
site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	0.431360149	0.511322297	1	M. smithii	K00571	GC_00004158	0	0.0164	26	61
large subunit ribosomal protein L27	0.431360149	0.511322297	1	M. smithii	K02899	GC_00003472	0	0.0164	26	61
large subunit ribosomal protein L21	0.431360149	0.511322297	1	M. smithii	K02888	GC_00003978	0	0.0164	26	61
dGTPase [EC:3.1.5.1]	0.431360149	0.511322297	1	M. smithii	K01129	GC_00003757	0	0.0164	26	61
large subunit ribosomal protein L1	0.431360149	0.511322297	1	M. intestini	K02863	GC_00001432	1	0.9836	26	61
programmed cell death protein 5	0.431360149	0.511322297	1	M. intestini	K06875	GC_00001425	1	0.9836	26	61
potassium/hydrogen antiporter	0.431360149	0.511322297	1	M. intestini	K11105	GC_00001450	1	0.9836	26	61
3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0.431360149	0.511322297	1	M. intestini	K00059	GC_00001057	1	0.9836	26	61
fused signal recognition particle receptor	0.431360149	0.511322297	1	M. intestini	K03110	GC_00001473	1	0.9836	26	61
peptide/nickel transport system substrate-binding protein	0.431360149	0.511322297	1	M. intestini	K02035	GC_00000060	1	0.9836	26	61
dolichyl-phosphooligosaccharide-protein glycotransferase [EC:2.4.99.21]	0.431360149	0.511322297	1	M. intestini	K21306	GC_00001464	1	0.9836	26	61
gamma-polyglutamate biosynthesis protein CapA	0.431360149	0.511322297	1	M. intestini	K07282	GC_00000058	1	0.9836	26	61
transcription initiation factor TFIID TATA-box-binding protein	0.431360149	0.511322297	1	M. intestini	K03120	GC_00001433	1	0.9836	26	61
adenylate kinase [EC:2.7.4.3]	0.431360149	0.511322297	1	M. intestini	K18532	GC_00001463	1	0.9836	26	61
alanyl-tRNA synthetase [EC:6.1.1.7]	0.431360149	0.511322297	1	M. intestini	K01872	"GC_00001481, GC_00003350"	1	0.9836	26	61
protein transport protein SEC61 subunit gamma and related proteins	0.431360149	0.511322297	1	M. intestini	K07342	GC_00001435	1	0.9836	26	61
ribonuclease P protein subunit RPR2 [EC:3.1.26.5]	0.431360149	0.511322297	1	M. intestini	K03540	GC_00001449	1	0.9836	26	61
cell division protein FtsZ	0.431360149	0.511322297	1	M. intestini	K03531	GC_00001442	1	0.9836	26	61
large subunit ribosomal protein L10	0.431360149	0.511322297	1	M. intestini	K02864	GC_00001441	1	0.9836	26	61
phosphoserine phosphatase [EC:3.1.3.3]	0.431360149	0.511322297	1	M. intestini	K01079	GC_00001466	1	0.9836	26	61
large subunit ribosomal protein L12	0.431360149	0.511322297	1	M. intestini	K02869	GC_00001445	1	0.9836	26	61
DNA topoisomerase I [EC:5.6.2.1]	0.431360149	0.511322297	1	M. intestini	K03168	GC_00001457	1	0.9836	26	61
large subunit ribosomal protein LX	0.431360149	0.511322297	1	M. intestini	K02944	GC_00001436	1	0.9836	26	61
prefoldin alpha subunit	0.431360149	0.511322297	1	M. intestini	K04797	GC_00001426	1	0.9836	26	61
tRNA methyltransferase	0.431360149	0.511322297	1	M. intestini	K07585	GC_00001440	1	0.9836	26	61
tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]	0.431360149	0.511322297	1	M. intestini	K03151	GC_00001469	1	0.9836	26	61
small subunit ribosomal protein S19e	0.431360149	0.511322297	1	M. intestini	K02966	GC_00001428	1	0.9836	26	61
translation initiation factor 6	0.431360149	0.511322297	1	M. intestini	K03264	GC_00001438	1	0.9836	26	61
large subunit ribosomal protein L11	0.431360149	0.511322297	1	M. intestini	K02867	GC_00001422	1	0.9836	26	61
large subunit ribosomal protein L39e	0.431360149	0.511322297	1	M. intestini	K02924	GC_00001423	1	0.9836	26	61
large subunit ribosomal protein L31e	0.431360149	0.511322297	1	M. intestini	K02910	GC_00001439	1	0.9836	26	61
"two-component system, response regulator PdtaR"	0.410196763	0.521869653	1	M. smithii	K22010	GC_00001676	0.3846	0.459	26	61
"1,2-diacylglycerol 3-beta-glucosyltransferase [EC:2.4.1.336]"	0.410196763	0.521869653	1	M. smithii	K19003	GC_00001656	0.3846	0.459	26	61
CRISPR-associated protein Csh1	0.40778349	0.523096667	1	M. smithii	K19114	"GC_00001899, GC_00003564"	0.1538	0.2131	26	61
RNA-directed DNA polymerase [EC:2.7.7.49]	0.39616762	0.529075124	1	M. intestini	K00986	GC_00003021	0.0385	0.0164	26	61
putative DNA-invertase from lambdoid prophage Rac	0.39616762	0.529075124	1	M. intestini	K14060	"GC_00004179, GC_00004182"	0.0385	0.0164	26	61
predicted type IV restriction endonuclease	0.39616762	0.529075124	1	M. intestini	K07504	GC_00002975	0.0385	0.0164	26	61
anthranilate synthase component I [EC:4.1.3.27]	0.39616762	0.529075124	1	M. smithii	K01657	GC_00001491	0.9615	0.9836	26	61
indole-3-glycerol phosphate synthase [EC:4.1.1.48]	0.39616762	0.529075124	1	M. smithii	K01609	GC_00001494	0.9615	0.9836	26	61
anthranilate phosphoribosyltransferase [EC:2.4.2.18]	0.39616762	0.529075124	1	M. smithii	K00766	GC_00001490	0.9615	0.9836	26	61
dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	0.39616762	0.529075124	1	M. smithii	K00067	GC_00001492	0.9615	0.9836	26	61
anthranilate synthase component II [EC:4.1.3.27]	0.39616762	0.529075124	1	M. smithii	K01658	"GC_00001465, GC_00003389"	0.9615	0.9836	26	61
tryptophan synthase alpha chain [EC:4.2.1.20]	0.39616762	0.529075124	1	M. smithii	K01695	GC_00001486	0.9615	0.9836	26	61
CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]	0.295837261	0.586503931	1	M. intestini	K19091	"GC_00001616, GC_00001892"	0.8077	0.7541	26	61
CRISPR-associated protein Cas5h	0.223569588	0.636333429	1	M. smithii	K19116	"GC_00001962, GC_00003116"	0.1538	0.1967	26	61
DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	0.047558114	0.827368159	1	M. intestini	K00558	"GC_00000064, GC_00002078, GC_00002099, GC_00002120, GC_00002333, GC_00002432, GC_00002447, GC_00002527, GC_00002574, GC_00002654, GC_00003028, GC_00004006, GC_00004134"	0.9615	0.9508	26	61
DNA phosphorothioation-dependent restriction protein DptH	0.047558114	0.827368159	1	M. smithii	K19175	"GC_00002565, GC_00002802"	0.0385	0.0492	26	61
DNA phosphorothioation-dependent restriction protein DptF	0.047558114	0.827368159	1	M. smithii	K19173	"GC_00003054, GC_00003055"	0.0385	0.0492	26	61
DNA phosphorothioation-dependent restriction protein DptG	0.047558114	0.827368159	1	M. smithii	K19174	"GC_00002572, GC_00003187"	0.0385	0.0492	26	61
DNA mismatch repair protein MutH	0.040691203	0.840135152	1	M. smithii	K03573	GC_00002077	0.1154	0.1311	26	61
insertion element IS1 protein InsB	0.017779541	0.893924537	1	M. intestini	K07480	GC_00002845	0.0385	0.0328	26	61
N4-acetylcytidine amidohydrolase [EC:3.5.1.135]	0.006407602	0.93619948	1	M. smithii	K09900	"GC_00002444, GC_00003077"	0.0769	0.082	26	61
phage terminase large subunit	4.59E-04	0.98291241	1	M. intestini	K06909	"GC_00001739, GC_00001874, GC_00002311, GC_00002768"	0.4615	0.459	26	61
L-glutamine-phosphate cytidylyltransferase [EC:2.7.7.103]	6.45E-05	0.993592441	1	M. intestini	K01009	"GC_00002412, GC_00002732, GC_00002779"	0.1154	0.1148	26	61
"Ni-sirohydrochlorin a,c-diamide reductive cyclase subunit CfbC [EC:6.3.3.7]"	0	1	1	NA	K21610	GC_00000817	1	1	26	61
imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	0	1	1	NA	K02501	GC_00000918	1	1	26	61
energy-converting hydrogenase A subunit I	0	1	1	NA	K14100	GC_00000967	1	1	26	61
tRNA(Ile2)-agmatinylcytidine synthase [EC:6.3.4.22]	0	1	1	NA	K06932	GC_00001348	1	1	26	61
signal recognition particle subunit SRP54 [EC:3.6.5.4]	0	1	1	NA	K03106	GC_00000544	1	1	26	61
methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]	0	1	1	NA	K00401	GC_00000093	1	1	26	61
pyruvate carboxylase subunit B [EC:6.4.1.1]	0	1	1	NA	K01960	GC_00000922	1	1	26	61
pyruvate formate lyase activating enzyme [EC:1.97.1.4]	0	1	1	NA	K04069	"GC_00000053, GC_00000187, GC_00000605"	1	1	26	61
energy-converting hydrogenase A subunit L	0	1	1	NA	K14103	GC_00000607	1	1	26	61
ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	0	1	1	NA	K23997	GC_00001378	1	1	26	61
pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	0	1	1	NA	K00171	GC_00000313	1	1	26	61
sugar fermentation stimulation protein A	0	1	1	NA	K06206	GC_00000119	1	1	26	61
manganese/zinc-transporting P-type ATPase C [EC:7.2.2.-]	0	1	1	NA	K12950	GC_00001306	1	1	26	61
coenzyme F420H2 oxidase [EC:1.5.3.22]	0	1	1	NA	K19817	"GC_00000484, GC_00000485"	1	1	26	61
[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]	0	1	1	NA	K03790	GC_00000160	1	1	26	61
peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	0	1	1	NA	K12267	GC_00000085	1	1	26	61
NitT/TauT family transport system substrate-binding protein	0	1	1	NA	K02051	GC_00000900	1	1	26	61
transcription initiation factor TFIIB	0	1	1	NA	K03124	GC_00000250	1	1	26	61
2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]	0	1	1	NA	K00188	GC_00000277	1	1	26	61
"DNA-directed RNA polymerase subunit B"""" [EC:2.7.7.6]"	0	1	1	NA	K03045	GC_00000128	1	1	26	61
small subunit ribosomal protein S15	0	1	1	NA	K02956	GC_00000259	1	1	26	61
formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	0	1	1	NA	K00200	GC_00000707	1	1	26	61
energy-converting hydrogenase A subunit E	0	1	1	NA	K14096	GC_00000261	1	1	26	61
coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]	0	1	1	NA	K12234	GC_00000620	1	1	26	61
large subunit ribosomal protein L18e	0	1	1	NA	K02883	GC_00000242	1	1	26	61
aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	0	1	1	NA	K00133	GC_00000579	1	1	26	61
large subunit ribosomal protein L6	0	1	1	NA	K02933	GC_00000545	1	1	26	61
tetrahedral aminopeptidase [EC:3.4.11.-]	0	1	1	NA	K20608	GC_00000268	1	1	26	61
fumarate hydratase subunit beta [EC:4.2.1.2]	0	1	1	NA	K01678	GC_00000842	1	1	26	61
"pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]"	0	1	1	NA	K06898	GC_00001004	1	1	26	61
threonine synthase [EC:4.2.3.1]	0	1	1	NA	K01733	GC_00000516	1	1	26	61
cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]	0	1	1	NA	K22522	GC_00001408	1	1	26	61
heterodisulfide reductase subunit B1 [EC:1.8.7.3]	0	1	1	NA	K22481	GC_00000741	1	1	26	61
molybdopterin synthase catalytic subunit [EC:2.8.1.12]	0	1	1	NA	K03635	GC_00000512	1	1	26	61
glutamine synthetase [EC:6.3.1.2]	0	1	1	NA	K01915	GC_00000615	1	1	26	61
cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]	0	1	1	NA	K09123	GC_00000888	1	1	26	61
formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6]	0	1	1	NA	K22516	GC_00000749	1	1	26	61
"indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"	0	1	1	NA	K00180	GC_00000971	1	1	26	61
lactaldehyde dehydrogenase [EC:1.2.1.22]	0	1	1	NA	K19266	GC_00001302	1	1	26	61
DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]	0	1	1	NA	K10742	"GC_00001356, GC_00002018, GC_00002728, GC_00002960"	1	1	26	61
isoleucyl-tRNA synthetase [EC:6.1.1.5]	0	1	1	NA	K01870	GC_00001374	1	1	26	61
preprotein translocase subunit SecY	0	1	1	NA	K03076	GC_00000647	1	1	26	61
hydrogenase expression/formation protein HypD	0	1	1	NA	K04654	GC_00000896	1	1	26	61
isopropanol dehydrogenase (NADP+) [EC:1.1.1.80]	0	1	1	NA	K23259	GC_00000083	1	1	26	61
tyramine---L-glutamate ligase [EC:6.3.4.24]	0	1	1	NA	K06914	GC_00001100	1	1	26	61
DNA-directed RNA polymerase subunit F [EC:2.7.7.6]	0	1	1	NA	K03051	GC_00000664	1	1	26	61
glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]	0	1	1	NA	K00980	GC_00000176	1	1	26	61
ABC-2 type transport system permease protein	0	1	1	NA	K01992	"GC_00000678, GC_00000687"	1	1	26	61
flap endonuclease-1 [EC:3.-.-.-]	0	1	1	NA	K04799	GC_00001174	1	1	26	61
P-type Ca2+ transporter type 2C [EC:7.2.2.10]	0	1	1	NA	K01537	GC_00000205	1	1	26	61
N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	0	1	1	NA	K16870	GC_00001245	1	1	26	61
energy-converting hydrogenase A subunit P	0	1	1	NA	K14107	GC_00000714	1	1	26	61
small subunit ribosomal protein S10	0	1	1	NA	K02946	GC_00000228	1	1	26	61
putative transcription factor	0	1	1	NA	K03627	GC_00000417	1	1	26	61
enolase [EC:4.2.1.11]	0	1	1	NA	K01689	"GC_00000383, GC_00003651"	1	1	26	61
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	0	1	1	NA	K15635	"GC_00000595, GC_00001379"	1	1	26	61
phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]	0	1	1	NA	K23264	GC_00000337	1	1	26	61
V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]	0	1	1	NA	K02117	GC_00000476	1	1	26	61
exosome complex component CSL4	0	1	1	NA	K07573	GC_00000344	1	1	26	61
acetylglutamate kinase [EC:2.7.2.8]	0	1	1	NA	K00930	GC_00000629	1	1	26	61
nucleoside-diphosphate kinase [EC:2.7.4.6]	0	1	1	NA	K00940	GC_00000286	1	1	26	61
triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]	0	1	1	NA	K05966	GC_00001146	1	1	26	61
phosphoglycolate phosphatase [EC:3.1.3.18]	0	1	1	NA	K22223	GC_00000987	1	1	26	61
heptose III glucuronosyltransferase [EC:2.4.1.-]	0	1	1	NA	K19354	"GC_00000488, GC_00001075"	1	1	26	61
large subunit ribosomal protein L19e	0	1	1	NA	K02885	GC_00000300	1	1	26	61
5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	0	1	1	NA	K00772	GC_00001005	1	1	26	61
ribitol-5-phosphate 2-dehydrogenase (NADP+) [EC:1.1.1.405]	0	1	1	NA	K05352	GC_00000596	1	1	26	61
N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	0	1	1	NA	K00145	"GC_00001332, GC_00003756"	1	1	26	61
glycine hydroxymethyltransferase [EC:2.1.2.1]	0	1	1	NA	K00600	GC_00000452	1	1	26	61
outer membrane protein assembly factor BamB	0	1	1	NA	K17713	GC_00001319	1	1	26	61
hydrogenase nickel incorporation protein HypA/HybF	0	1	1	NA	K04651	GC_00000889	1	1	26	61
"multidrug resistance protein, MATE family"	0	1	1	NA	K03327	"GC_00000005, GC_00000211, GC_00001230, GC_00001390"	1	1	26	61
uncharacterized protein	0	1	1	NA	K07133	"GC_00000016, GC_00000036, GC_00000039, GC_00000104, GC_00000139, GC_00000144, GC_00000163, GC_00000185, GC_00000200, GC_00000203, GC_00000247, GC_00000276, GC_00000323, GC_00000350, GC_00000369, GC_00000373, GC_00000435, GC_00000522, GC_00000523, GC_00000524, GC_00000560, GC_00000577, GC_00000586, GC_00000598, GC_00000603, GC_00000619, GC_00000623, GC_00000625, GC_00000672, GC_00000711, GC_00000720, GC_00000736, GC_00000740, GC_00000747, GC_00000748, GC_00000810, GC_00000837, GC_00000840, GC_00000841, GC_00000850, GC_00000928, GC_00000999, GC_00001008, GC_00001010, GC_00001020, GC_00001085, GC_00001099, GC_00001109, GC_00001110, GC_00001142, GC_00001148, GC_00001151, GC_00001170, GC_00001212, GC_00001213, GC_00001255, GC_00001320, GC_00001328, GC_00001350, GC_00001353, GC_00001392, GC_00001404, GC_00001454, GC_00001459, GC_00001504, GC_00001507, GC_00001519, GC_00001523, GC_00001541, GC_00001557, GC_00001590, GC_00001609, GC_00001654, GC_00001677, GC_00001719, GC_00001722, GC_00001733, GC_00001750, GC_00001755, GC_00001901, GC_00001916, GC_00001948, GC_00002004, GC_00002015, GC_00002107, GC_00002385, GC_00002452, GC_00002553, GC_00002738, GC_00002855, GC_00002946, GC_00003192, GC_00003460, GC_00003529, GC_00003808, GC_00003840, GC_00003844, GC_00003934, GC_00003968, GC_00004009, GC_00004022"	1	1	26	61
cobalt/nickel transport protein	0	1	1	NA	K02009	GC_00000539	1	1	26	61
orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	0	1	1	NA	K01591	GC_00001250	1	1	26	61
ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	0	1	1	NA	K21636	GC_00000685	1	1	26	61
ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	0	1	1	NA	K00948	GC_00000566	1	1	26	61
"3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]"	0	1	1	NA	K03651	GC_00000911	1	1	26	61
autotransporter family porin	0	1	1	NA	K07279	"GC_00000012, GC_00000090, GC_00000118, GC_00001592, GC_00001624, GC_00001657, GC_00001671, GC_00001956, GC_00001977, GC_00003176"	1	1	26	61
helicase [EC:3.6.4.-]	0	1	1	NA	K03726	GC_00001362	1	1	26	61
integrase/recombinase XerD	0	1	1	NA	K04763	"GC_00000869, GC_00001098, GC_00001648, GC_00003421"	1	1	26	61
putative methylase	0	1	1	NA	K07579	GC_00001341	1	1	26	61
dUTP pyrophosphatase [EC:3.6.1.23]	0	1	1	NA	K01520	GC_00000511	1	1	26	61
phosphate transport system permease protein	0	1	1	NA	K02037	"GC_00000548, GC_00001186"	1	1	26	61
methionyl aminopeptidase [EC:3.4.11.18]	0	1	1	NA	K01265	GC_00001089	1	1	26	61
cytoplasmic tRNA 2-thiolation protein 1 [EC:2.7.7.-]	0	1	1	NA	K14168	GC_00000651	1	1	26	61
GTP cyclohydrolase IV [EC:3.5.4.39]	0	1	1	NA	K17488	GC_00000730	1	1	26	61
energy-converting hydrogenase A subunit K	0	1	1	NA	K14102	GC_00000340	1	1	26	61
FAD synthetase [EC:2.7.7.2]	0	1	1	NA	K14656	GC_00000599	1	1	26	61
coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]	0	1	1	NA	K00443	GC_00000406	1	1	26	61
acyl-CoA thioester hydrolase [EC:3.1.2.-]	0	1	1	NA	K07107	GC_00000870	1	1	26	61
replication factor C small subunit	0	1	1	NA	K04801	GC_00000750	1	1	26	61
transcription initiation factor TFIIE subunit alpha	0	1	1	NA	K03136	GC_00000376	1	1	26	61
ABC-2 type transport system ATP-binding protein	0	1	1	NA	K01990	"GC_00000170, GC_00001000, GC_00001256"	1	1	26	61
phosphate transport system ATP-binding protein [EC:7.3.2.1]	0	1	1	NA	K02036	GC_00000487	1	1	26	61
molybdopterin-guanine dinucleotide biosynthesis adapter protein	0	1	1	NA	K03753	GC_00001227	1	1	26	61
ketol-acid reductoisomerase [EC:1.1.1.86]	0	1	1	NA	K00053	GC_00000483	1	1	26	61
4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]	0	1	1	NA	K10218	GC_00000801	1	1	26	61
large subunit ribosomal protein L22	0	1	1	NA	K02890	GC_00000267	1	1	26	61
putative hydrolase of the HAD superfamily	0	1	1	NA	K07025	GC_00000470	1	1	26	61
energy-converting hydrogenase B subunit N	0	1	1	NA	K14123	GC_00000609	1	1	26	61
large subunit ribosomal protein L24e	0	1	1	NA	K02896	GC_00000248	1	1	26	61
"polysaccharide transporter, PST family"	0	1	1	NA	K03328	GC_00000009	1	1	26	61
V/A-type H+/Na+-transporting ATPase subunit C	0	1	1	NA	K02119	GC_00000278	1	1	26	61
stage II sporulation protein M	0	1	1	NA	K06384	"GC_00000671, GC_00001130"	1	1	26	61
homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	0	1	1	NA	K00641	"GC_00001210, GC_00001240"	1	1	26	61
exodeoxyribonuclease III [EC:3.1.11.2]	0	1	1	NA	K01142	"GC_00000510, GC_00002837"	1	1	26	61
tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86]	0	1	1	NA	K00578	GC_00000638	1	1	26	61
adenylosuccinate synthase [EC:6.3.4.4]	0	1	1	NA	K01939	GC_00000863	1	1	26	61
precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]	0	1	1	NA	K05895	GC_00001026	1	1	26	61
CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]	0	1	1	NA	K18704	GC_00001107	1	1	26	61
ribonuclease III [EC:3.1.26.3]	0	1	1	NA	K03685	GC_00000926	1	1	26	61
adenosylhomocysteinase [EC:3.3.1.1]	0	1	1	NA	K01251	GC_00000132	1	1	26	61
large subunit ribosomal protein L30e	0	1	1	NA	K02908	GC_00000254	1	1	26	61
precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]	0	1	1	NA	K05936	GC_00000897	1	1	26	61
"HTH-type transcriptional regulator, sugar sensing transcriptional regulator"	0	1	1	NA	K23356	GC_00001024	1	1	26	61
DNA-directed RNA polymerase subunit N [EC:2.7.7.6]	0	1	1	NA	K03058	GC_00000252	1	1	26	61
phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	0	1	1	NA	K01889	GC_00000159	1	1	26	61
transcription factor S	0	1	1	NA	K03057	"GC_00000289, GC_00000385"	1	1	26	61
cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]	0	1	1	NA	K03637	GC_00000533	1	1	26	61
fatty-acyl-CoA synthase [EC:6.2.1.-]	0	1	1	NA	K00666	GC_00000126	1	1	26	61
phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	0	1	1	NA	K01814	GC_00000909	1	1	26	61
rod shape-determining protein MreB and related proteins	0	1	1	NA	K03569	GC_00000360	1	1	26	61
molybdate transport system regulatory protein	0	1	1	NA	K02019	"GC_00000272, GC_00000865"	1	1	26	61
histidinol dehydrogenase [EC:1.1.1.23]	0	1	1	NA	K00013	GC_00001203	1	1	26	61
energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	0	1	1	NA	K01552	GC_00000076	1	1	26	61
putative membrane protein	0	1	1	NA	K08971	"GC_00000197, GC_00000855, GC_00001163, GC_00001220, GC_00001295, GC_00002500"	1	1	26	61
prolyl-tRNA synthetase [EC:6.1.1.15]	0	1	1	NA	K01881	GC_00000757	1	1	26	61
